Cardname,Edition,Foil,Qty
Scour from Existence,Battle for Zendikar,False,1
"Heliod, God of the Sun",Theros,True,2
Reckless Bushwhacker,Oath of the Gatewatch,True,1
Underworld Dreams,Magic 2010,True,1
Cloud of Faeries,Urza's Legacy,True,1
Academy Ruins,Time Spiral,False,1
Blinkmoth Nexus,Modern Masters 2015 Edition,False,4
Magus of the Disk,Time Spiral,True,1
Massacre Wurm,Mirrodin Besieged,False,1
Crucible of the Spirit Dragon,Fate Reforged,True,1
"Linvala, the Preserver",Oath of the Gatewatch,True,1
Mind Twist,Revised Edition (Foreign Black Border),False,1
Sundial of the Infinite,Magic 2012,True,1
Cavern Harpy,Planeshift,True,1
Darkness,"Time Spiral ""Timeshifted""",False,1
Terramorphic Expanse,Time Spiral,True,1
Cunning Wish,Judgment,False,1
